GEOID,community
17031081000,NEAR NORTH SIDE
17031081100,NEAR NORTH SIDE
17031283800,NEAR WEST SIDE
17031460302,SOUTH CHICAGO
17031440101,CHATHAM
17031010300,ROGERS PARK
17031805107,Arlington Heights
17031260100,WEST GARFIELD PARK
17031431200,SOUTH SHORE
17031300800,SOUTH LAWNDALE
17031300900,SOUTH LAWNDALE
17031827802,South Holland
17031071200,LINCOLN PARK
17031260700,WEST GARFIELD PARK
17031821700,Evergreen Park
17031220602,LOGAN SQUARE
17031242300,WEST TOWN
17031837800,NEAR WEST SIDE
17031410700,HYDE PARK
17031490300,ROSELAND
17031840800,SOUTH LAWNDALE
17031040202,LINCOLN SQUARE
17031222200,LOGAN SQUARE
17031421200,WOODLAWN
17031200100,HERMOSA
17031200200,HERMOSA
17031832900,NEAR WEST SIDE
17031070101,LINCOLN PARK
17031292200,NORTH LAWNDALE
17031170300,DUNNING
17031191100,BELMONT CRAGIN
17031191301,BELMONT CRAGIN
17031081900,NEAR NORTH SIDE
17031810502,Norridge
17031222600,LOGAN SQUARE
17031010701,ROGERS PARK
17031832000,LAKE VIEW
17031806003,Park Ridge
17031821102,Burbank
17031821300,Blue Island
17031390200,KENWOOD
17031660900,CHICAGO LAWN
17031670900,WEST ENGLEWOOD
17031711500,AUBURN GRESHAM
17031770601,Des Plaines
17031420100,WOODLAWN
17031140702,ALBANY PARK
17031210501,AVONDALE
17031221200,LOGAN SQUARE
17031825802,Calumet City
17031283200,NEAR WEST SIDE
17031825900,Calumet City
17031815300,Berwyn
17031031501,UPTOWN
17031260500,WEST GARFIELD PARK
17031760801,OHARE
17031040402,LINCOLN SQUARE
17031050700,NORTH CENTER
17031841200,LOWER WEST SIDE
17031080400,NEAR NORTH SIDE
17031612000,NEW CITY
17031803010,Buffalo Grove
17031804611,Schaumburg
17031630800,GAGE PARK
17031834200,SOUTH SHORE
17031840400,MCKINLEY PARK
17031580600,BRIGHTON PARK
17031816402,Melrose Park
17031819801,Western Springs
17031140800,ALBANY PARK
17031831200,HERMOSA
17031835200,GARFIELD RIDGE
17031640400,CLEARING
17031806400,Des Plaines
17031805401,Niles
17031120100,FOREST GLEN
